 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
ProximaX,,4/30/2018, $ 28.71 ,#REF!,https://coinmarketcap.com/currencies/proximax/,XPX,"12,144,466","185,425",https://proximax.io/,https://bafybeianjjg4i5d2q6bjces6ie2wwdrneaeyohkfzgexxfu3jb5pxw6i7y.ipfs.infura-ipfs.io/,06/06/2021,,,,,42.30%,0.65%,1.53%,,,1,,,,,,,,,,
Publica,,11/15/2017, $ 1.09 ,#REF!,https://coinmarketcap.com/currencies/publica/,PBL,,,https://publica.io/,https://publica.io/whitepapers/summary.pdf,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
PundiX (PXS),,1/21/2018, $ 35.00 ,#REF!,https://coinmarketcap.com/currencies/pundix-new/,PUNDIX,"416,667,977","24,885,560",https://pundix.com/,https://pundix.com/pdf/PundiX_Whitepaper_EN_Ver.pdf,06/06/2021,,,,,1190.48%,71.10%,5.97%,,,4,,,,,,,,,,
Qash (QASH),,11/8/2017, $ 107.29 ,#REF!,https://coinmarketcap.com/currencies/qash/,QASH,"78,701,189","343,578",https://www.liquid.com/,https://s3-ap-southeast-1.amazonaws.com/liquid-site/quoine-liquid_v1.9.pdf,06/06/2021,,,,,73.36%,0.32%,0.44%,,,1,,,,,,,,,,
Qbao (QTUM),,11/19/2017, $ 9.80 ,#REF!,https://coinmarketcap.com/currencies/qbao/,QBT,"999,290","24,961",https://qbao.fund/,https://qbao.fund/qbao/qbao/resources/pdf/qbao_fund_en.pdf,06/06/2021,,,,,10.20%,0.25%,2.50%,,,1,,,,,,,,,,
Qlink,,12/22/2017, $ 32.17 ,#REF!,https://coinmarketcap.com/currencies/qlink//,QLC,"21,653,629","242,271",https://qlcchain.org/,https://qlink.mobi/qlink2/res/WhitePaper.pdf,06/06/2021,,,,,67.31%,0.75%,1.12%,,,1,,,,,,,,,,
Qlink,,1/27/2018, $ 19.27 ,#REF!,Duplicate,,,,,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Qtum,,3/21/2017, $ 15.43 ,#REF!,https://coinmarketcap.com/currencies/qtum/,QTUM,"1,183,179,606","295,728,439",https://qtum.org/,https://qtum.org/user/pages/01.home/Qtum%20whitepaper_en%20v0.7.pdf,06/07/2021,,,,,7668.05%,1916.58%,24.99%,,,4,,,,,,,,,,
Quadrant Protocol,,7/26/2018,16,#REF!,https://coinmarketcap.com/currencies/quadrantprotocol/,EQUAD,"5,807,693.95","122,101.44",https://www.quadrantprotocol.com/,https://www.quadrantprotocol.com/whitepaper.pdf,03/06/2021,,,,,36.30%,0.76%,2.10%,,,1,,,,,,,,,,
Quantstamp,,11/19/2017, $ 53.64 ,#REF!,https://coinmarketcap.com/currencies/quantstamp/,QSP,"40,592,987","437,557",https://quantstamp.com/,https://docsend.com/view/shcsmhe,06/06/2021,,,,,75.68%,0.82%,1.08%,,,2,,,,,,,,,,
Quantum Resistant Ledger,,5/7/2017, $ 4.16 ,#REF!,https://coinmarketcap.com/currencies/quantum-resistant-ledger/,QRL,"24,341,517","61,514",https://theqrl.org/,https://github.com/theQRL/Whitepaper/blob/master/QRL_whitepaper.pdf,06/06/2021,,,,,585.13%,1.48%,0.25%,,,3,,,,,,,,,,
Quantum1Net,,5/11/2018, $ 4.15 ,#REF!,,,,,,,05/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
QuarkChain,,6/3/2018, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/quarkchain/,QKC,"182,872,958.93","3,577,399.27",https://quarkchain.io/,https://quarkchain.io/QUARK%20CHAIN%20Public%20Version%200.3.5.pdf,04/06/2021,,,,,914.36%,17.89%,1.96%,,,3,,,,,,,,,,
Qvolta,,10/20/2017, $ 0.73 ,#REF!,https://coinmarketcap.com/currencies/cobinhood/,QVT,"38,695.92",,https://qvolta.com/,https://s3.eu-central-1.amazonaws.com/qvolta/white.pdf,06/06/2021,,,DEAD,,5.30%,0.00%,0.00%,,,1,,,,,,,,,,
R_Block,,2/20/2018, $ 2.22 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Rate3 Network,,5/21/2018, $ 17.50 ,#REF!,https://coinmarketcap.com/currencies/rate3/,RTE,"939,079","98,164",https://www.rate3.network/,https://uploads-ssl.webflow.com/5a7d218d6001ff0001f3d5cc/5ad35af33b9e2b4ad1a019e2_Rate3%20WP%20v2.0.pdf,05/06/2021,,,,Main reasons for dead coin listing Scam or Other Issues.,5.37%,0.56%,10.45%,,,1,,,,,,,,,,
REAL (REAL),,9/30/2017, $ 10.79 ,#REF!,https://coinmarketcap.com/currencies/real/,REAL,"1,532,488",64,https://www.real.markets/,https://icobazaar.com/static/40e4c618165759580ad167e072843182/REAL_Whitepaper.pdf,06/06/2021,,,,,14.21%,0.00%,0.00%,,,1,,,,,,,,,,
Reality Clash,,9/29/2017, $ 2.53 ,#REF!,https://coinmarketcap.com/currencies/reality-clash/,RCC,,,https://realityclash.com/,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
REALT (RLT),,10/31/2017, $ 11.15 ,#REF!,https://coinmarketcap.com/currencies/realtract/,RET,"4,355,559",no data,https://realtract.network/,https://realtract.network/Whitepaper-EN-1.0.pdf,06/06/2021,,,,,39.06%,#VALUE!,#VALUE!,,,1,,,,,,,,,,
Red Pulse (RPX),,10/31/2017, $ 13.32 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Refereum,,2/8/2018, $ 32.25 ,#REF!,https://coinmarketcap.com/currencies/refereum/,RFR,"58,818,764.04","37,623.29",https://refereum.com/,https://refereum.com/RefereumWhitepaper.pdf,06/06/2021,,,,,182.37%,0.12%,0.06%,,,3,,,,,,,,,,
REMME,,2/15/2018, $ 17.54 ,#REF!,https://coinmarketcap.com/currencies/remme/,REM,"2,342,346","250,110",https://remme.io/,https://github.com/Remmeauth/Documentation/blob/master/RemmeProtocolTechPaper.md,06/06/2021,,,,,13.35%,1.43%,10.68%,,,1,,,,,,,,,,
Rentberry (BERRY),,2/28/2018, $ 27.60 ,#REF!,https://coinmarketcap.com/currencies/rentberry/,BERRY,"300,856",117,https://ico.rentberry.com/,https://rentberry.cryptonomos.com/downloads/Rentberry_Whitepaper_en.pdf,06/06/2021,,,DEAD,,1.09%,0.00%,0.04%,,,1,,,,,,,,,,
Republic Protocol (REN),,2/3/2018, $ 34.00 ,#REF!,https://coinmarketcap.com/currencies/ren/,REN,"522,314,307.26","39,704,515.31",https://renproject.io/,https://renproject.io/litepaper.pdf,06/06/2021,,,,,1536.22%,116.78%,7.60%,,,4,,,,,,,,,,
Repux,,4/7/2018, $ 4.70 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Request Network (REQ),,10/17/2017, $ 33.17 ,#REF!,https://coinmarketcap.com/currencies/request/,REQ,"91,631,480","1,148,533",https://request.network/,https://request.network/assets/pdf/request_whitepaper.pdf,06/06/2021,,,,,276.28%,3.46%,1.25%,,,3,,,,,,,,,,
Restart Energy Democracy(MWAT),,1/22/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/restart-energy-mwat/,MWAT,"13,868,119","214,833",https://restartenergy.io/,https://restartenergy.io/Restart_Energy_Whitepaper.pdf,06/06/2021,,,,,46.23%,0.72%,1.55%,,,1,,,,,,,,,,
Revain,,9/6/2017, $ 0.70 ,#REF!,https://coinmarketcap.com/currencies/revain/,REV,"944,751,950","3,609,258",https://revain.org/,http://revain.org/pdf/wp/en-wp.pdf,06/06/2021,,,,,134964.56%,515.61%,0.38%,,,4,,,,,,,,,,
Rialto,,7/4/2017, $ 10.00 ,#REF!,https://coinpaprika.com/coin/xrl-rialto/,XRL,,0.101,https://www.rialto.ai/,,06/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Rialto.AI,,7/3/2017, $ 10.00 ,#REF!,https://coinpaprika.com/coin/xrl-rialto/,XRL,,0.101,https://www.rialto.ai/,,06/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
RightMesh,,5/31/2018, $ 30.00 ,#REF!,https://coinpaprika.com/coin/rmesh-rightmesh/,RMESH,"387,154.72",1 699.56,https://www.rightmesh.io/,https://www.rightmesh.io/whitepaper,05/06/2021,,,DEAD,,1.29%,#VALUE!,#VALUE!,https://coinmarketcap.com/currencies/rightmesh/,,1,,,,,,,,,,
Ripio Credit Network (RCN),,11/10/2017, $ 37.43 ,#REF!,https://coinmarketcap.com/currencies/ripio-credit-network/,RCN,"67,059,844","548,654",https://ripiocredit.network/,https://ripiocredit.network/#whitepaper,06/06/2021,,,,,179.15%,1.47%,0.82%,,,3,,,,,,,,,,
Rise,,6/1/2016, $ 1.10 ,#REF!,https://coinmarketcap.com/currencies/rise/,RISE,"1,660,645","84,511",https://rise.vision/,https://downloads.rise.vision/lightpaper.pdf,06/07/2021,,,,,150.97%,7.68%,5.09%,,,3,,,,,,,,,,
Rivetz,,9/10/2017, $ 13.63 ,#REF!,https://coinmarketcap.com/currencies/rivetz/,RVT,"2,377,644",44,https://rivetz.com/,https://rivetzintl.com/rvt-white-paper-1.02.pdf,06/06/2021,,,,,17.44%,0.00%,0.00%,,,1,,,,,,,,,,
Rocati Limited,,7/19/2018,1.1,#REF!,,,,,,,03/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
RootProject,,7/28/2017, $ 3.50 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
RuCoin,,4/15/2018, $ 1.17 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
RusGas,,6/11/2018, $ 2.21 ,#REF!,https://coinpaprika.com/coin/rgs-rusgas/,RGS,,85.5,https://rusgas.io/en/,,04/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/rusgas-infinity/,,1,,,,,,,,,,
Saifu,,4/30/2018, $ 13.02 ,#REF!,https://etherscan.io/token/0x5b135d7e2774c801a73208f258123d7623e07784,SFU,"4,313,335.78",1.26,https://saifu.ai/,,06/06/2021,,,,,33.12%,0.00%,0.00%,,,1,,,,,,,,,,
Sapien Network,,3/21/2018, $ 11.80 ,#REF!,https://coinmarketcap.com/currencies/sapien/,SPN,"4,422,578",207.8,https://www.sapien.network/,https://www.sapien.network/static/pdf/SPNv1_4.pdf,06/06/2021,,https://coinpaprika.com/coin/spn-sapien/,,,37.48%,0.00%,0.00%,,,1,,,,,,,,,,
Science Blockchain (SCI),,11/21/2017, $ 12.27 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Scroll Token,,6/14/2018, $ 1.00 ,#REF!,https://neironix.io/cryptocurrency/scroll_token,SCRL,,0,https://www.scroll.network/?utm_source=neironix.io&utm_medium=project&utm_campaign=no_pay,,04/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Seal Network,,5/27/2018, $ 8.16 ,#REF!,https://coinpaprika.com/coin/seal-seal-network/,SEAL,"133,656.00",339.61,https://seal.network/,https://seal.network/seal-whitepaper.pdf,05/06/2021,,,,,1.64%,0.00%,0.25%,https://coinmarketcap.com/currencies/seal-network/,,1,,,,,,,,,,
Seele,,4/3/2018, $ 12.13 ,#REF!,https://coinmarketcap.com/currencies/seele/,SEELE,"196,810,764.00","2,981,905",https://seelen.pro/#/,https://s3.ap-northeast-2.amazonaws.com/wp.s3.seele.pro/Seele_tech_whitepaper_EN_v2.0.pdf,06/06/2021,,,DEAD,,1621.98%,24.57%,1.52%,,,4,,,,,,,,,,
SelfKey,,1/14/2018, $ 21.78 ,#REF!,https://coinmarketcap.com/currencies/selfkey/,KEY,"54,036,804","54,036,804",https://selfkey.org/,https://selfkey.org/whitepaper/,06/06/2021,,,,,248.10%,248.10%,100.00%,,,3,,,,,,,,,,
Selfkey Pre-sale,,12/20/2017, $ 15.84 ,#REF!,https://coinmarketcap.com/currencies/selfkey/,KEY,"52,670,383","7,634,179",https://selfkey.org/,https://selfkey.org/whitepaper/,06/06/2021,,,,,332.52%,48.20%,14.49%,,,3,,,,,,,,,,
Selfllery,,3/27/2018, $ 0.91 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Sense,,12/1/2017, $ 15.00 ,#REF!,https://coinmarketcap.com/currencies/sense/,SENSE,"14,626,652",,https://www.sensetoken.com/,https://www.sensetoken.com/pdfs/sensetoken_whitepaper_en.pdf,06/06/2021,,,DEAD,,97.51%,0.00%,0.00%,,,2,,,,,,,,,,
Sentinel Chain (SENC),,3/9/2018, $ 14.40 ,#REF!,https://coinmarketcap.com/currencies/sentinel-chain/,SENC,"560,414","63,790",https://www.sentinel-chain.org/,https://sentinel-chain.org/Sentinel.Chain.Whitepaper.v0_31.1.pdf,06/06/2021,,,,,3.89%,0.44%,11.38%,,,1,,,,,,,,,,
Sentinel Protocol,,5/27/2018, $ 4.20 ,#REF!,https://coinmarketcap.com/currencies/sentinel-protocol/,UPP,"50,217,954","55,065",https://sentinelprotocol.io/,https://sentinelprotocol.io/whitepaper/,05/06/2021,,,,,1195.67%,1.31%,0.11%,,,4,,,,,,,,,,
Seratio Project (SER),,10/31/2017, $ 8.16 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Serenity Financial,,3/7/2018, $ 4.44 ,#REF!,https://coinmarketcap.com/currencies/serenity/,SRNT,,,https://serenity-financial.io/,https://serenity-financial.io/static/downloads/serenity_financial_eng.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
ShareRing,,7/4/2018,1.55,#REF!,,,,,,,04/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Sharpe Capital (SHP),,1/28/2018, $ 6.73 ,#REF!,https://coinpaprika.com/coin/shp-sharpe-platform-token/,SHP,,0.920427,https://sharpe.capital/,https://sharpe.capital/whitepaper.pdf,06/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
ShipChain (SHIP),,1/6/2018, $ 30.00 ,#REF!,https://coinmarketcap.com/currencies/shipchain/,SHIP,"1,163,491",9,https://www.shipchain.io/,https://docs.shipchain.io/docs/intro.html,06/06/2021,,,DEAD,"Main reasons for dead coin listing, Limited Exchanges and trading.",3.88%,0.00%,0.00%,,,1,,,,,,,,,,
Shopin,,4/30/2018, $ 42.55 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,Main reasons for dead coin listing Abandoned or No Volume,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Shping (SHPNG),,3/23/2018, $ 6.70 ,#REF!,https://coinmarketcap.com/currencies/shping/,SHPING,"11,232,663",308,https://www.shping.com/,,06/06/2021,,,,,167.65%,0.00%,0.00%,,,3,,,,,,,,,,
Signals,,4/30/2018, $ 2.14 ,#REF!,https://coinmarketcap.com/currencies/signals-network/,SGN,"299,030.30",47.4,https://signals.network/,https://cdn.signals.network/docs/signals-whitepaper-en.pdf,06/06/2021,,,,,13.96%,0.00%,0.02%,,,1,,,,,,,,,,
SilentNotary,,9/18/2017, $ 0.12 ,#REF!,https://coinpaprika.com/coin/sntr-silent-notary/,SNTR,0,156.07,https://silentnotary.com/,https://silentnotary.com/documents/whitepaper.pdf,06/06/2021,,,,,0.00%,0.13%,#DIV/0!,https://coinmarketcap.com/currencies/silent-notary/,,1,,,,,,,,,,
SilverCoin,,6/27/2017, $ 0.21 ,#REF!,,,,,,,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Simdaq (SMQ),,3/8/2018, $ 5.00 ,#REF!,https://coinpaprika.com/coin/smq-simdaq/,SMQ,,0.24852,https://simdaq.com/#/,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/simdaq/,,1,,,,,,,,,,
Simple Token (ST),,12/1/2017, $ 21.40 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
SingularDTV,,10/2/2016, $ 7.50 ,#REF!,https://coinmarketcap.com/currencies/singulardtv/,SNGLS,"11,908,898","1,264,168",https://breaker.io/,https://coss.io/documents/white-papers/singulardtv.pdf,06/07/2021,,,,,158.79%,16.86%,10.62%,,,3,,,,,,,,,,
SingularityNET,,12/22/2017, $ 32.85 ,#REF!,https://coinmarketcap.com/currencies/singularitynet/,AGI,"243,598,080",,https://singularitynet.io/,https://public.singularitynet.io/whitepaper.pdf,06/06/2021,,,,,741.60%,0.00%,0.00%,,,3,,,,,,,,,,
Sirin Labs,,12/26/2017, $ 157.89 ,#REF!,https://coinmarketcap.com/currencies/sirin-labs-token/,SRN,"8,425,986","475,959",http://www.sirinlabs.com/,https://sirinlabs.com/media/SIRINLABS_-_White_Paper.pdf,06/06/2021,,,,,5.34%,0.30%,5.65%,,,1,,,,,,,,,,
SkinCoin,,7/21/2017, $ 3.32 ,#REF!,https://coinmarketcap.com/currencies/skincoin/,SKIN,"748,540","26,993",https://skincoin.org/,https://skincoin.org/whitepaper.pdf,06/06/2021,,,,,22.55%,0.81%,3.61%,,,1,,,,,,,,,,
Skrumble Network,,5/5/2018, $ 16.47 ,#REF!,https://coinmarketcap.com/currencies/skrumble-network/,SKM,"4,533,094.60","2,585,457.82",https://skrumble.network/,https://skrumble.network/whitepapers/,06/06/2021,,,,,27.52%,15.70%,57.04%,,,1,,,,,,,,,,
Skychain,,4/8/2018, $ 9.82 ,#REF!,https://coinmarketcap.com/currencies/skychain/,SKCH,,,https://skychain.global/,http://skychain.global/upload/iblock/89a/wp_english_Newest.pdf,06/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Slate,,7/20/2018,20,#REF!,,,,,,,03/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Smart Investment Fund Token,,9/15/2017, $ 1.75 ,#REF!,https://coinpaprika.com/coin/sift-smart-investment-fund-token/,SIFT,"449,441.46",0,https://smartift.com/,https://smartift.com/sift_whitepaper.pdf,06/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,25.68%,0.00%,0.00%,,,1,,,,,,,,,,
SmartGold,,4/25/2018, $ 4.27 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Smartlands,,11/20/2017, $ 1.75 ,#REF!,https://coinmarketcap.com/currencies/smartlands-network/,SLT,"45,796,217","43,820",http://smartlands.network/,https://smartlands.network/#introduction,06/06/2021,,,,,2611.41%,2.50%,0.10%,,,4,,,,,,,,,,
SmartMesh,,12/4/2017, $ 15.69 ,#REF!,https://coinmarketcap.com/currencies/smartmesh/,SMT,"14,423,363","911,470",https://smartmesh.io/,http://smartmesh.io/SmartMeshWhitePaperEN.pdf,06/06/2021,,,,,91.92%,5.81%,6.32%,,,2,,,,,,,,,,
Snip,,10/29/2017, $ 4.97 ,#REF!,https://coinmarketcap.com/currencies/snipcoin/,SNIP,,,https://snip.today/,https://media.snip.today/Snip_Whitepaper_en.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Snovio,,11/30/2017, $ 2.13 ,#REF!,https://etherscan.io/token/0xbdc5bac39dbe132b1e030e898ae3830017d7d969,SNOV,"622,379.80",,https://snovian.space/,https://snovian.space/whitepaper.html,06/06/2021,,,,,29.23%,0.00%,0.00%,,,1,,,,,,,,,,
Social(SCL),,9/14/2017, $ 5.22 ,#REF!,https://coinmarketcap.com/currencies/sociall/,SCL,"260,405",32,https://sociall.io/,https://sociall.io/whitepaper.pdf,06/06/2021,,,,,4.99%,0.00%,0.01%,,,1,,,,,,,,,,
Socialmedia.market,,3/16/2018, $ 8.46 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
SOFIN,,7/15/2018,1.31,#REF!,,,,,,,03/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Sola,,12/25/2017, $ 2.23 ,#REF!,https://coinpaprika.com/coin/sol-sola-token/,SOL,"72,960.86",5.74,https://sola.foundation/,https://sola.foundation/Sola_Whitepaper_V1-1_EN.pdf,06/06/2021,,,DEAD,,3.27%,0.00%,0.01%,,,1,,,,,,,,,,
Solomon Exchange,,9/27/2017, $ 0.16 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Solve.Care,,5/1/2018, $ 35.00 ,#REF!,,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Soma,,11/15/2017, $ 6.05 ,#REF!,https://coinmarketcap.com/currencies/soma/,SCT,"16,498.75",956.54,https://soma.co/,https://soma.co/documents/,06/06/2021,,,,,0.27%,0.02%,5.80%,,,1,,,,,,,,,,
SONM,,7/15/2017, $ 42.00 ,#REF!,https://coinmarketcap.com/currencies/sonm/,SNM,"107,291,528","551,163",https://sonm.com/,https://docs.sonm.com/,06/06/2021,,,,,255.46%,1.31%,0.51%,,,3,,,,,,,,,,
SophiaTX,,12/17/2017, $ 23.47 ,#REF!,https://coinmarketcap.com/currencies/sophiatx/,SPHTX,"641,584",,https://www.sophiatx.com/,https://github.com/SophiaTX,06/06/2021,,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived.,2.73%,0.00%,0.00%,,,1,,,,,,,,,,
Sp8de (SPX),,3/11/2018, $ 6.50 ,#REF!,https://coinpaprika.com/coin/spx-sp8de/,SPX,"476,977.78",3.12,https://sp8de.com/,https://sp8de.com/sp8de_white_paper.pdf,06/06/2021,,,DEAD,,7.34%,0.00%,0.00%,https://coinmarketcap.com/currencies/sp8de/,,1,,,,,,,,,,
Sparkster,,7/9/2018,30,#REF!,https://coinmarketcap.com/currencies/sparkster/,SPRK,"2,212,403","1,197",https://sparkster.me/,https://sparkster.me/#Whitepaper,04/06/2021,,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived.,7.37%,0.00%,0.05%,,,1,,,,,,,,,,
Spectiv,,1/1/2018, $ 7.61 ,#REF!,https://coinpaprika.com/coin/sig-spectiv/,SIG,"52,955.90",134.23,https://www.spectiv.io/,https://drive.google.com/file/d/1-Y4-Bb9-70DhdVeTvYLZtkK5W3Lvruc-/view,06/06/2021,,,,,0.70%,0.00%,0.25%,https://coinmarketcap.com/currencies/signal-token/,,1,,,,,,,,,,
Spectre (SPEC),,12/10/2017, $ 15.39 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Spells of Genesis,,9/1/2015, $ 0.53 ,#REF!,,,,,,,06/07/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
SPiCE VC (SPX),,1/31/2018, $ 40.00 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
SportyFi (SPF),,12/8/2017, $ 5.09 ,#REF!,https://coinmarketcap.com/currencies/sportyco/,SPF,,,https://www.sportyco.io/,https://sportyco.io/SPORTYFI-Whitepaper.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Squeezer,,6/30/2018, $ 14.81 ,#REF!,,,,,,,04/06/2021,No information found,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
SRG,,1/15/2018, $ 3.16 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Starbase (STAR),,11/24/2017, $ 8.92 ,#REF!,https://coinmarketcap.com/currencies/starbase/,STAR,"25,067,101","57,853",https://starbase.co/,https://starbase.co/whitepaper,06/06/2021,,,,,280.99%,0.65%,0.23%,,,3,,,,,,,,,,
Starta,,7/4/2017, $ 5.00 ,#REF!,https://icomarks.com/ico/starta,Start,,0,https://startaico.com/?utm_source=icomarks,https://startaico.com/files/whitepaper.pdf,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,https://coinmarketcap.com/currencies/starta/,,1,,,,,,,,,,
STK Token,,12/29/2017, $ 17.00 ,#REF!,https://coinmarketcap.com/currencies/stk/,STK,"1,418,735","42,134",https://stktoken.com/,https://stktoken.com/STK_whitepaper_en.pdf,06/06/2021,,,,,8.35%,0.25%,2.97%,,,1,,,,,,,,,,
Storiqa (STQ),,1/29/2018, $ 25.00 ,#REF!,https://coinmarketcap.com/currencies/storiqa/,STQ,"303,648",,https://storiqa.com/,https://crowdsale.storiqa.com/static/docs/TS-white-paper-EN.pdf,06/06/2021,,,DEAD,,1.21%,0.00%,0.00%,,,1,,,,,,,,,,
Storiqa 1 (ETH),,12/28/2017, $ 1.30 ,#REF!,https://coinmarketcap.com/currencies/storiqa/,STQ,"305,120",,https://storiqa.com/,https://crowdsale.storiqa.com/static/docs/TS-white-paper-EN.pdf,06/06/2021,,,,,23.47%,0.00%,0.00%,,,1,,,,,,,,,,
Storjcoin X,,8/17/2014, $ 0.42 ,#REF!,https://coinmarketcap.com/currencies/storjcoin-x/,SJCX,,,http://storj.io/,https://storj.io/storj.pdf,06/07/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Storm,,12/8/2017, $ 30.72 ,#REF!,https://coinmarketcap.com/currencies/stormx/,STMX,"223,384,971","11,440,004",https://stormx.io/,https://s3.amazonaws.com/cakecodes/pdf/storm_web/STORM_Token_White_Paper_Market_Research_Network_Development_vFINAL_.pdf,06/06/2021,No information found,,,,727.25%,37.24%,5.12%,,,3,,,,,,,,,,
Stratis,,7/16/2016, $ 0.60 ,#REF!,https://coinmarketcap.com/currencies/stratis/,STRAX,"17,739,071","214,498,916",http://stratisplatform.com/,https://www.stratisplatform.com/files/Stratis_Whitepaper.pdf,06/07/2021,,,,,2956.51%,35749.82%,1209.19%,,,4,,,,,,,,,,
Streamity Crowdsale (Phase-1),,3/25/2018, $ 4.20 ,#REF!,,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
StuffGoGo,,9/11/2017, $ 0.24 ,#REF!,,,,,,,06/06/2021,Inactive,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Substratum,,9/6/2017, $ 12.21 ,#REF!,https://coinmarketcap.com/currencies/substratum/,SUB,"2,025,405",992,https://substratum.net/,http://substratum.net/wp-content/uploads/2017/08/substratum_whitepaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,16.59%,0.01%,0.05%,,,1,,,,,,,,,,
